Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2026,Townhouse,Total,1050,1150,1470,s,211,-14.81%,-2.13%,30.00%,-18.75%
2026,Flat/Unit,Total,701,850,1050,614,"7,234",-2.30%,13.33%,37.98%,-11.27%
2026,Flat/Unit,Bedsitter,494,538,650,s,268,14.36%,27.98%,122.22%,-48.72%
2026,Flat/Unit,1 Bedroom,600,700,819,206,"1,920",-6.67%,16.67%,46.10%,12.57%
2026,Flat/Unit,2 Bedrooms,800,900,1100,322,"4,147",.00%,12.50%,57.07%,-16.36%
2026,Flat/Unit,3 Bedrooms,1100,1270,1500,61,683,-6.79%,5.83%,1.67%,-20.78%
2027,Total,Total,695,920,1450,121,"1,611",-16.36%,15.00%,-22.44%,-12.95%
2027,Total,1 Bedroom,474,650,699,38,463,-3.35%,30.00%,26.67%,-7.32%
2027,Total,2 Bedrooms,850,925,1100,41,624,-15.91%,8.82%,-18.00%,-29.31%
2027,Total,3 Bedrooms,1250,1550,1800,34,357,-7.46%,3.33%,21.43%,9.68%
2027,Flat/Unit,Total,675,895,1375,106,"1,300",-18.64%,19.33%,20.45%,-12.40%
2027,Flat/Unit,1 Bedroom,474,650,699,38,417,-6.81%,30.00%,72.73%,-7.32%
2027,Flat/Unit,2 Bedrooms,850,953,1113,36,527,-13.41%,12.06%,-14.29%,-28.00%
2027,Flat/Unit,3 Bedrooms,1250,1450,1748,s,281,-15.94%,-7.94%,35.00%,12.50%
2028,Total,Total,776,925,1273,82,"1,055",.54%,16.72%,-15.46%,-26.79%
2028,Total,2 Bedrooms,771,850,996,48,638,1.49%,13.33%,4.35%,-34.25%
2028,Total,3 Bedrooms,1225,1550,2325,s,210,-7.74%,25.00%,26.67%,-26.92%
2028,Flat/Unit,Total,750,880,1100,70,869,-1.12%,17.33%,18.64%,-31.37%
2028,Flat/Unit,2 Bedrooms,768,850,998,47,587,3.03%,13.33%,9.30%,-34.72%
